,city,temp,max temp,humidity,cloudiness,wind speed,lat,lon,city country,city datetime
0,levittown,48.38,55.4,100,1,6.04,40.15,-74.84,US,1571882317
1,yellowknife,30.07,30.2,86,90,11.41,62.45,-114.38,CA,1571882317
2,hithadhoo,76.42,76.42,86,100,12.33,-0.6,73.08,MV,1571882318
3,savinka,56.46,56.46,79,77,6.38,50.08,47.1,RU,1571882319
4,ushuaia,55.4,55.4,54,40,8.05,-54.81,-68.31,AR,1571882035
5,constitucion,70.52,73.4,40,75,4.7,23.99,-104.67,MX,1571882320
6,mataura,46,46,86,100,15.99,-46.19,168.86,NZ,1571882321
8,udachnyy,12.2,12.2,92,0,4.47,66.42,112.4,RU,1571882322
9,tiksi,0.63,0.63,89,0,8.28,71.64,128.87,RU,1571882323
10,tuatapere,46,46,86,100,15.99,-46.13,167.69,NZ,1571882324
11,kapit,90.27,90.27,53,57,1.9,2.02,112.94,MY,1571882325
12,kaitangata,46.15,46.15,76,99,34.76,-46.28,169.85,NZ,1571882325
13,mahebourg,72.09,73.4,83,20,5.82,-20.41,57.7,MU,1571882326
14,saldanha,45.45,45.45,89,74,9.62,41.42,-6.55,PT,1571882327
15,bur gabo,42.26,43,100,90,5.82,63.56,22.87,FI,1571882328
16,rikitea,73.72,73.72,87,100,2.06,-23.12,-134.97,PF,1571882328
18,faya,59,59,72,0,4.7,18.39,42.45,SA,1571882330
19,fortuna,58.89,62.6,67,1,9.17,40.6,-124.16,US,1571882330
20,gimli,32.27,35.01,68,55,5.99,50.63,-96.99,CA,1571882331
22,kahului,82.99,91.4,43,40,17.22,20.89,-156.47,US,1571882333
23,mar del plata,32.11,32.11,56,90,3.42,29.86,90.73,CN,1571882333
24,norman wells,68.04,71.6,42,9,8.05,35.22,-97.44,US,1571882096
25,butaritari,85.37,85.37,69,14,9.84,3.07,172.79,KI,1571882335
26,dikson,17.06,17.06,91,100,7.07,73.51,80.55,RU,1571882035
27,puerto ayora,51.8,51.8,57,100,27.51,-51.62,-69.23,AR,1571882336
28,hermanus,55,55,86,100,1.01,-34.42,19.24,ZA,1571882337
29,lebu,45.93,45.93,47,5,3.24,8.96,38.73,ET,1571882337
30,kimbe,85.32,85.32,73,29,4.16,-5.56,150.15,PG,1571882338
31,hambantota,75.2,75.2,100,75,4.7,6.12,81.12,LK,1571882339
33,beringovskiy,22.5,22.5,74,5,17.25,63.05,179.32,RU,1571882340
34,port alfred,77.32,77.32,71,43,1.48,-7.04,29.76,CD,1571882341
35,shingu,73.4,73.4,69,75,14.99,33.72,135.99,JP,1571882342
36,atuona,79.48,79.48,77,11,12.71,-9.8,-139.03,PF,1571882342
38,port elizabeth,77.32,77.32,71,43,1.48,-7.04,29.76,CD,1571882344
39,new norfolk,77,77,94,75,1.36,6.65,-10.59,LR,1571882344
41,saint-louis,78.8,78.8,74,97,4.7,16.03,-16.5,SN,1571882346
42,punta arenas,86.07,87.8,62,20,4.7,14.18,121.12,PH,1571882347
43,ierapetra,67.19,69.01,72,20,12.75,35.01,25.74,GR,1571882347
44,albany,43.16,48.99,81,1,3.36,42.65,-73.75,US,1571882348
45,weligama,81.07,81.07,81,100,6.08,5.97,80.42,LK,1571882349
46,sitka,52,52,48,100,1.01,37.17,-99.65,US,1571882350
47,faanui,79.61,79.61,69,14,7.76,-16.48,-151.75,PF,1571882350
48,zhezkazgan,26.6,26.6,53,51,4.47,47.8,67.71,KZ,1571882351
49,bethel,33.8,33.8,86,90,17.22,60.79,-161.76,US,1571882352
50,ilulissat,24.8,24.8,45,86,3.36,69.22,-51.1,GL,1571882352
51,libenge,69.44,69.44,97,88,2.39,3.65,18.64,CD,1571882353
52,san quintin,82.13,82.13,58,72,5.68,13.3,-4.9,ML,1571882354
53,yazd,55.4,55.4,54,0,2.24,31.89,54.36,IR,1571882355
54,nikolskoye,47.55,48.99,87,75,4.47,59.7,30.79,RU,1571882355
55,vaini,68,68,100,75,6.93,15.34,74.49,IN,1571882356
56,deer lake,61.92,66.2,51,90,5.82,38.62,-91.8,US,1571882357
57,kalakamati,81.59,81.59,31,100,16.4,-20.59,27.31,BW,1571882358
58,castro,48.2,48.2,87,94,3.36,-42.48,-73.76,CL,1571882358
60,terney,50.34,50.34,55,100,4.97,45.05,136.61,RU,1571882360
61,taltal,51.98,51.98,87,2,3.42,-25.41,-70.49,CL,1571882360
62,chokurdakh,1.47,1.47,93,25,7.87,70.62,147.9,RU,1571882361
63,bucerias,82.67,82.99,83,90,4.7,20.76,-105.33,MX,1571882362
